Date, Total, Solid, Liquid, Gas
1981-01-00,125.4146,37.14631,54.74525,33.52304
1981-02-00,105.9197,32.83404,45.20624,27.87945
1981-03-00,107.1396,33.01786,46.17714,27.94459
1981-04-00,94.9415,30.0387,43.01047,21.89235
1981-05-00,95.2932,30.24551,44.06372,20.98399
1981-06-00,96.8175,32.80654,44.75615,19.25481
1981-07-00,101.4611,37.04418,45.09019,19.32676
1981-08-00,99.1624,36.22055,43.63126,19.31056
1981-09-00,94.7263,32.82627,43.29173,18.60825
1981-10-00,100.2223,32.51891,45.36061,22.3428
1981-11-00,99.5731,32.26241,43.49457,23.81608
1981-12-00,115.2323,35.73772,48.94586,30.5487
1982-01-00,120.7643,37.72642,47.69926,35.3386
1982-02-00,104.9733,32.81272,42.94289,29.21767
1982-03-00,104.5716,31.98372,45.52731,27.06052
1982-04-00,96.7353,29.25857,45.60298,21.87377
1982-05-00,89.545,30.12052,42.69753,16.72697
1982-06-00,88.4151,30.72768,41.27404,16.41341
1982-07-00,93.3538,35.05456,41.44013,16.85906
1982-08-00,93.7069,34.89002,41.86161,16.95527
1982-09-00,88.7784,31.15893,40.82792,16.79153
1982-10-00,91.4506,30.225,41.934,19.29164
1982-11-00,95.8438,31.212,41.66627,22.9655
1982-12-00,103.4164,33.06986,44.74275,25.60377
1983-01-00,109.8079,34.47038,42.64968,32.68781
1983-02-00,95.9954,29.91609,38.85506,27.22426
1983-03-00,102.0473,30.3215,45.92148,25.80436
1983-04-00,92.6503,28.88952,41.65783,22.10298
1983-05-00,89.715,29.71667,41.82158,18.17677
1983-06-00,90.0224,31.85492,42.41572,15.75173
1983-07-00,96.1035,38.00367,42.41511,15.68473
1983-08-00,99.8732,39.90102,43.73074,16.24145
1983-09-00,92.1287,34.63325,42.16097,15.33452
1983-10-00,91.9029,33.06767,42.57414,16.26112
1983-11-00,95.559,33.59121,42.91147,19.0563
1983-12-00,111.6509,38.58474,48.7509,24.31526
1984-01-00,123.0677,39.25477,49.25108,34.56181
1984-02-00,105.0796,34.38357,41.8247,28.87132
1984-03-00,109.5487,35.49313,46.87539,27.18018
1984-04-00,99.4655,32.17306,43.68176,23.61066
1984-05-00,97.1149,32.839,44.39819,19.87767
1984-06-00,96.6004,36.40954,42.83105,17.35981
1984-07-00,98.8165,38.43752,43.36018,17.01881
